8-Mar,Useful Phrases,,Industry Terms
8-May,Git & Github,,Interactions
8-Oct,Kotlin Documentation,,Job Interviews
8-Dec,Test Driven Development,,
17/08,Computer Architecture,,
19/08,Relational Databases,,
24/08,Scalable Microservices,,
26/08,Writing Readmes,,
31/08,Cloud Computing,,
9-Feb,Cybersecurity,,
9-Jul,User Experience,,
9-Sep,Common objects at home,,
14/09,Common objects in the office,,
16/09,Booking a Flight,,"
"
21/09,Booking a Hotel,,
23/09,Finding a new home,,
28/09,First day in the office,,
30/09,Talking about myself,,
10-May,Making friends,,
10-Jul,Ordering food,,
10-Dec,"Small talk (weather, etc)",,
14/10,Navigating the city spaces,,
19/10,NoCSOK Job Openings,,
21/10,Studying job openings in Germany,,
26/10,Preparing Linkedn,,
28/10,Talking what's on Linkedin,,
11-Feb,Talking on the phone with employer,,
11-Apr,Reading job postings,,
11-Sep,Talking about your experience,,
11-Nov,Problem-solving test,,
16/11,Job interview practice,,
18/11,Speaking for the job you want,,
23/11,Review,,
25/11,Software Engineering,,
30/11,Git & Github,,
12-Feb,Collaborative development,,
12-Jul,Computer Science,,
12-Sep,Mobile Development,,
14/12,Infosec,,
16/12,Human-Computer Interaction,,
21/12,Machine Learning,,
23/12,Product Management,,
28/12,Agile Methods,,
30/12,Clean Code/Architecture,,
